-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
0AAADBCAL    002804  PSB       04.312  07:19:10.06  00004672  7.1  00011392  00000448  00004224
 AAADBPRO    002807  PSB       04.312  07:19:10.06  00004672  7.1  00011200  00000448  00004224
 AAAPSMU     00280A  PSB       04.312  07:19:10.06  00009344  7.1  00011200  00000320  00009024
 AAASMUT     00280D  PSB       04.312  07:19:10.06  00002624  7.1  00003968  00000320  00002304
 ABLJUNK1    002816  PSB       04.312  07:19:10.06  00003392  7.1  00002688  00000448  00002944
 AB300P1     002901  PSB       04.312  07:19:10.06  00003392  7.1  00002944  00000448  00002944
 AB300P2     002904  PSB       04.312  07:19:10.06  00003392  7.1  00002304  00000448  00002944
 AB300P3     002907  PSB       04.312  07:19:10.06  00003392  7.1  00002944  00000448  00002944
 AB300P4     00290C  PSB       04.312  07:19:10.06  00004608  7.1  00002944  00000704  00003904
 AB300SD     002819  DMB DL/1  04.312  07:19:10.06  00001184  7.1
 AB301SD     00281B  DMB DL/1  04.312  07:19:10.06  00000440  7.1
 AB302SD     00281D  DMB DL/1  04.312  07:19:10.06  00000440  7.1
 ACCLOADP    002911  PSB       04.312  07:19:10.06  00003008  7.1  00001792  00000384  00002624
 ACCPDLT0    002914  PSB       04.312  07:19:10.06  00003008  7.1  00001792  00000384  00002624
 ACCPSMUT    002917  PSB       04.312  07:19:10.06  00003008  7.1  00001792  00000384  00002624
 ACVPLOAD    00291C  PSB       04.312  07:19:10.06  00002496  7.1  00001216  00000384  00002112
 ACVPUPDT    00291F  PSB       04.312  07:19:10.06  00002560  7.1  00001472  00000384  00002176
 AGBALDBA    002A03  PSB       04.312  07:19:10.06  00004160  7.1  00008832  00000576  00003584
 AGBALDBP    002A0A  PSB       04.312  07:19:10.06  00004160  7.1  00008832  00000576  00003584
 AGTCNTLD    002A0F  PSB       04.312  07:19:10.06  00002752  7.1  00001536  00000320  00002432
 AGTCNTLT    002A12  PSB       04.312  07:19:10.06  00002752  7.1  00001536  00000320  00002432
 AGTPFIMS    002B01  PSB       04.312  07:19:10.06  00012800  7.1  00003008  00001600  00011200
 AGTPLOAD    002B04  PSB       04.312  07:19:10.06  00005056  7.1  00002432  00000768  00004288
 AGTPSMU     002B07  PSB       04.312  07:19:10.06  00008384  7.1  00002624  00000768  00007616
 AGTROOT     002B0A  PSB       04.312  07:19:10.06  00003584  7.1  00002240  00000576  00003008
 AGTSYSB     002B0D  PSB       04.312  07:19:10.06  00006848  7.1  00002560  00000960  00005888
 AGTUPDT     002B10  PSB       04.312  07:19:10.06  00004544  7.1  00002560  00000576  00003968
 AGTZAP9     002C01  PSB       04.312  07:19:10.06  00004224  7.1  00002624  00000576  00003648
 AGYCNTLD    002C04  PSB       04.312  07:19:10.06  00002752  7.1  00001536  00000320  00002432
 AGYCNTLT    002C07  PSB       04.312  07:19:10.06  00002752  7.1  00001536  00000320  00002432
 AGYPLOAD    002C0A  PSB       04.312  07:19:10.06  00002496  7.1  00001920  00000384  00002112
 AGYPSMU     002C0D  PSB       04.312  07:19:10.06  00002624  7.1  00002240  00000384  00002240
 AGYUPDT     002C10  PSB       04.312  07:19:10.06  00003904  7.1  00002304  00000576  00003328
 AIRAX84     002C13  PSB       04.312  07:19:10.06  00005056  7.1  00013312  00000576  00004480
 AIRBNCK     002C1A  PSB       04.312  07:19:10.06  00003840  7.1  00005312  00000576  00003264
 AIRBSCK     002C1D  PSB       04.312  07:19:10.06  00005056  7.1  00013312  00000576  00004480
 AIRPN10     002D01  PSB       04.312  07:19:10.06  00003840  7.1  00005312  00000640  00003200
 AIRPPCK     002D04  PSB       04.312  07:19:10.06  00005056  7.1  00013312  00000576  00004480
 AIRPUCK     002D07  PSB       04.312  07:19:10.06  00005056  7.1  00013312  00000576  00004480
 AIRPX10     002D0A  PSB       04.312  07:19:10.06  00005056  7.1  00013312  00000576  00004480
 ALALOAD     002D0D  PSB       04.312  07:19:10.06  00004928  7.1  00008960  00000576  00004352
 ALAMPA01    002D16  PSB       04.312  07:19:10.06  00007168  7.1  00023424  00001088  00006080
 ALAMPA02    002E01  PSB       04.312  07:19:10.06  00010816  7.1  00023424  00001536  00009280
 ALAMPA03    002E04  PSB       04.312  07:19:10.06  00007552  7.1  00020928  00001152  00006400
 ALAMPA05    002E07  PSB       04.312  07:19:10.06  00006144  7.1  00023424  00000960  00005184
 ALAMPA06    002E0A  PSB       04.312  07:19:10.06  00006144  7.1  00023424  00000960  00005184
 ALAMPEND    002E0D  PSB       04.312  07:19:10.06  00003968  7.1  00019904  00000704  00003264
 ALAPASS     002F0D  PSB       04.312  07:19:10.06  00012352  7.1  00020992  00001408  00010944
 ALAPFIMS    002F10  PSB       04.312  07:19:10.06  00005184  7.1  00009152  00000576  00004608
 ALAPLOAD    002F13  PSB       04.312  07:19:10.06  00003776  7.1  00008000  00000384  00003392
1 16:59:37  04.313 - ACB DIRECTORY LIST FOR LIBRARY - K9210P.IMSA.ACBLIB
-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
0ALAPSCAN    002F16  PSB       04.312  07:19:10.06  00007488  7.1  00030592  00000960  00006528
 ALAPSMUT    003001  PSB       04.312  07:19:10.06  00003840  7.1  00008192  00000384  00003456
 ALARECOP    003004  PSB       04.312  07:19:10.06  00012480  7.1  00030592  00001408  00011072
 ALARETR     003007  PSB       04.312  07:19:10.06  00005184  7.1  00009152  00000576  00004608
 ALASCAN     00300A  PSB       04.312  07:19:10.06  00004928  7.1  00013120  00000576  00004352
 ALASTRPT    00300D  PSB       04.312  07:19:10.06  00008512  7.1  00020992  00000960  00007552
 ALASYNUP    003101  PSB       04.312  07:19:10.06  00011712  7.1  00010304  00001152  00010560
