Index of ftp://public.dhe.ibm.com/        (Sept 23, 2018)

Up to higher level directory
Name    Size    Last Modified
4700                            4/18/2008       12:00:00 AM
File:TRADEMARKS.TXT     7 KB    12/20/1995      12:00:00 AM
aix                             2/9/2018        12:00:00 AM
annualreport                    3/4/2011        12:00:00 AM
as400                           5/24/2017       12:00:00 AM
bin                             10/25/2010      12:00:00 AM
cloud                           6/13/2014       12:00:00 AM
common                          4/22/2003       12:00:00 AM
demos                           8/4/2010        12:00:00 AM
dev                             3/22/2007       12:00:00 AM
devices                         3/8/2006        12:00:00 AM
education                       4/23/2008       12:00:00 AM
eserver                         5/6/2004        12:00:00 AM
fiximages                       9/25/2007       12:00:00 AM
ftp                             7/18/2006       12:00:00 AM
hardware                        12/6/2002       12:00:00 AM
ibm                             4/12/2012       12:00:00 AM
ims                             10/23/1997      12:00:00 AM
indexes                         3/24/2004       11:00:00 PM
industries                      2/16/2009       12:00:00 AM
infomgmt                        5/30/2011       12:00:00 AM
itsolutions                     9/24/2009       12:00:00 AM
jp                              3/23/2006       11:00:00 PM
la                              12/19/2007      12:00:00 AM
lib                             11/11/2014      12:00:00 AM
linux                           12/18/2017      12:00:00 AM
lost+found                      7/17/2006       12:00:00 AM
networking                      11/29/2001      12:00:00 AM
partnerworld                    2/17/2010       12:00:00 AM
printers                        10/22/2013      12:00:00 AM
procurement                     7/26/2006       12:00:00 AM
ps                              2/13/2018       12:00:00 AM
pub                             7/18/2006       12:00:00 AM
publications                    7/22/1999       12:00:00 AM
research                        3/18/2013       12:00:00 AM
File:robots.txt         1 KB    2/3/2014        12:00:00 AM
rs6000                          8/20/2002       12:00:00 AM
s390                            8/16/2017       12:00:00 AM
sales                           2/14/2014       12:00:00 AM
servers                         10/11/2006      12:00:00 AM
services                        7/14/2011       12:00:00 AM
smarterplanet                   2/3/2015        12:00:00 AM
sns                             5/5/2017        12:00:00 AM
software                        4/26/2017       12:00:00 AM
solutions                       4/9/2009        12:00:00 AM
storage                         3/7/2018        12:00:00 AM
support                         9/21/2015       12:00:00 AM
systems                         3/8/2010        12:00:00 AM
virtualworlds                   2/5/2009        12:00:00 AM
