Index of ftp://public.dhe.ibm.com/s390/zos/       (Sept 23, 2018)

Up to higher level directory
Name    Size    Last Modified
DFSMS                                        6/19/2018       6:04:00 PM
commserver                                   3/25/2004       11:00:00 PM
domino                                       3/31/2005       11:00:00 PM
ef                                           4/24/2006       12:00:00 AM
hcm                                          9/27/2017       12:00:00 AM
icsf                                         12/19/2014      12:00:00 AM
ispf                                         7/12/2001       12:00:00 AM
le                                           3/23/2005       11:00:00 PM
msys                                         1/19/2005       12:00:00 AM
pdfs                                         11/30/2016      12:00:00 AM
pdmq                                         6/21/2002       12:00:00 AM
racf                                         8/24/2017       12:00:00 AM
rmf                                          6/6/2018        9:25:00 AM
sm                                           9/14/2002       12:00:00 AM
ssl                                          3/26/2008       12:00:00 AM
tklm                                         5/1/2009        12:00:00 AM
tools                                        6/2/2016        12:00:00 AM
unix                                         12/13/2000      12:00:00 AM
vse                                          6/25/2009       12:00:00 AM
wlm                                          6/6/2018        1:00:00 AM
