
  SYSTEM  M = MVSP    P = DOFP       (THESE ARE OUR PROD SYSTEM NAMES)
          W = MVSW    D = DOFD
  DATE IS FIRST CLONE TO PRODUCTION SYSTEM

.......................................................................
LEVEL # |  DATE   |     DESCRIPTION                            |SYSTEM|
.......................................................................
  52    | 11/22/91|  3390-3 MAINT; FTP V1 PTF                  | TAPE |
........|.........|............................................|......|
  53    |         | FTP V2 INSTALL; JES2 MAINT                 |      |
........|.........|............................................|......|
  54    |         | PPFA/OGL INSTALL; RACF EXIT; FORTRAN V2R5  |      |
........|.........|............................................|......|
  55    |         | HSM PTF; PL1 PTF; SVC 244                  |      |
........|.........|............................................|......|
  56    | 02/16/92| SVC 233 + 238 FOR TMON                     |      |
........|.........|............................................|......|
  57    |         | ADABAS SVC'S                               |      |
........|.........|............................................|......|
  58    | 03/08/92| HSM + DUMPSRV MAINT.                       |      |
........|.........|............................................|......|
  58A   | 03/31   | INQUIRE, EYEWITNESS SVC'S; RMFGAT PTF      |      |
........|.........|............................................|......|
  59    | 04/03   | FTP V1 + V2 MAINT; VTAM MAINT.             |      |
........|.........|............................................|......|
  59A   | 04/10   | CICS 3.2.1 SVC'S                           |      |
........|.........|............................................|......|
  59B   | 04/24   | ADABAS SVC'S 207,208; DUMPSRV, MVS MAINT.  |      |
........|.........|............................................|......|
  60    | 05/01   | HSM 2.6;  RMDS                             |      |
........|.........|............................................|......|
  61    | 05/17   | JES2 MAINT., 9021-900 MAINT                |P,D   |
........|.........|............................................|......|
  62    | 06/09   | CICSAO INSTALL,FDR 5.1 LV5135.             |      |
........|.........|............................................|......|
  62A   | 07/24   | RACF CLASS DESCRIPTORS FOR WATER BOARD     |M     |
........|.........|............................................|......|
  62B   | 07/26   | WSCLEAR OPTION FOR CICS COBOL II           |W     |
........|.........|............................................|......|
  63    | 07/19   | HSM PTF                                    |      |
........|.........|............................................|......|
  63C   | 10/01   | COBOL USER MODS  JES EXIT FOR CLASS O      |      |
........|.........|............................................|......|
  63D   | 11/01   | JES2 PTFS                                  |      |
........|.........|............................................|......|
  63E   | 12/01   | NPM  5.1 ANO                               |      |
........|.........|............................................|......|
  63F   | 01/17/93| SMPE 1.6                                   |      |
........|.........|............................................|......|
  64    | 07/29/92| NPM 5.1 SMPE 1.6 SPF VER 3                 |      |
        |         | NOTE THIS LEVEL WILL NOT GO INTO PRODUCTION|      |
........|.........|............................................|......|
  65    | 01/19/93| AOC, DFP, AND HSM PTFS.                    |      |
        |         | COBOL COMPILE TIME OPTIONS.                |      |
........|.........|............................................|......|
  66    | 01/25/93| AOC, CICS/AO, NETVIEW V1.3 MAINTENANCE.    |      |
        |         | APPLIED PTF UY80293 FOR VTAM .             |      |
........|.........|............................................|......|
  67    | 04/25/93| SORT UMODS, PTF FOR DFP                    |      |
........|.........|............................................|......|
  68    | 04/30/93| HSM MAINTENANCE, IEBCOPY , IEANUC CLEANUP  |      |
........|.........|............................................|......|
  69    | 07/12/93| RACF PTF UY83886                           |      |
........|.........|............................................|......|
  70    | 08/05/93| VTAM PTFS UY82001 UY89944 UY95278 (ELIAS)  |      |
        |         |  VTAM UY86059 (CTC PROBLEM)   RMF UY92786  |      |
........|.........|............................................|......|
  71    |         | NETVIEW PTF UY96310 (ELIAS)                |      |
        |12/16/93 | POSTAL BAR CODES (INSTALLED BY SAL FOR DOF)|      |
........|.........|............................................|......|
  72    |         |                                            |      |
........|.........|............................................|......|
  73    |         |                                            |      |
........|.........|............................................|......|
  74    |         |                                            |      |
........|.........|............................................|......|
  75    |         |                                            |      |
........|.........|............................................|......|
  76    |         |                                            |      |
........|.........|............................................|......|
  77    |         |                                            |      |
........|.........|............................................|......|
