Access(testing spool) Spooltest         ID, Spool res name, access lvl        11
Access(testing DSN)   Dsntest           ID, DSname, Requested access          11
Access(testing VOL)   Voltest           ID, VOLUME, Requested access          11
Add facility          Af                ID, The facility                       4
Add NVAS ID           Addems            ID, The name                           4
Add logon proc        Addproc           ID, The logon proc                     4
Add by name           Addname           ID prefix,first name,last name         4
Add FULL ACID         Add               ID to be created                       4
Add STC               Addstc            STCNAME, ID it is to use               9
Admin (tracking 1)    Track             ID, # of days to go back              10
All access (DSNs)     Dsnall            ID, DSname, # days ('AUDIT')           5
Audit an admin ID     Track             ID, # of days to go back               5
Audit changes to ID   Saudit            ID changed, days back to go            5
Audit ID              Audit             ID , # of days back to go              6
Batch                 Batch             None                                   6
Browse Util DSN       B1 b2 b3 b4 b5    NONE                                   5
Bypass add            Bypadd            Facility, res1, res2 *CAUTION          9
Bypass remove         Byprem            Facility, res1, res2 *CAUTION          9
Cache status          Cachestat         None                                  10
Change mode           Batch/online      None                                   4
Change password       Pwrep             ID, The new password                   2
Changes by an ID      Track             ID changed, days back to go            5
Changes to ID         Saudit            ID changed, days back to go            5
Clone an ID           CL                Current ID, ID 2 B created             5
Cmdout                Cmdo              The Cmnd to be issued to TSO           9
Cmdout to screen      Cmds              The Cmnd to be issued to TSO           9
Convert               Co                ID to be converted or BYPASS           5
CICS                  Bypadd/byprem     Facility, res1, res2                   9
Dataset (see DSN)     Dsnxxx            ID, DSname, # days ('AUDIT')           5
Debug writing log     Writedebug        None                                   4
Default TSO acct      Defacct           ID, The new default account            6
Default TSO proc      Defproc           ID, The new default LProc              6
Default TSO setup     Deftso            ID, Lproc, Acct #                      6
Default TSO size      Defsize           ID, The new default size               6
Default TSO unit      Defunit           ID, The new default unit               6
Delete group          Groupdelete       Group of Ids to be deleted            10
Delete ID             Delete            ID to be deleted                       4
Delete ID UNDO        Resurrect         ID to be recreated                     5
Destination add owner Destown           ID, the SDSF/JES2 destinatio           5
