         COPY  PDPTOP
         CSECT
* X-var rtx_length
         ENTRY RTX@LENG
* Program text area
RTX@LENG EQU   *
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'03'
         DC    X'02'
         DC    X'01'
         DC    X'03'
         DC    X'03'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'05'
         DC    X'04'
         DC    X'04'
         DC    X'08'
         DC    X'04'
         DC    X'03'
         DC    X'04'
         DC    X'02'
         DC    X'07'
         DC    X'01'
         DC    X'03'
         DC    X'01'
         DC    X'01'
         DC    X'03'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'07'
         DC    X'08'
         DC    X'08'
         DC    X'03'
         DC    X'08'
         DC    X'06'
         DC    X'02'
         DC    X'01'
         DC    X'01'
         DC    X'07'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'05'
         DC    X'03'
         DC    X'02'
         DC    X'01'
         DC    X'01'
         DC    X'02'
         DC    X'00'
         DC    X'02'
         DC    X'01'
         DC    X'01'
         DC    X'03'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'00'
         DC    X'01'
         DC    X'02'
         DC    X'01'
         DC    X'02'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'03'
         DC    X'01'
         DC    X'00'
         DC    X'03'
         DC    X'05'
         DC    X'03'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'01'
         DC    X'03'
         DC    X'03'
         DC    X'01'
         DC    X'02'
         DC    X'0D'
         DC    X'0A'
         DC    X'03'
         DC    X'02'
         DC    X'01'
         DC    X'04'
         DC    X'03'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'02'
         DC    X'01'
         DC    X'01'
         DC    X'01'
* X-var rtx_name
         ENTRY RTX@NAME
@@LC0    EQU   *
         DC    C'UnKnown'
         DC    X'0'
@@LC1    EQU   *
         DC    C'nil'
         DC    X'0'
@@LC2    EQU   *
         DC    C'include'
         DC    X'0'
@@LC3    EQU   *
         DC    C'expr_list'
         DC    X'0'
@@LC4    EQU   *
         DC    C'insn_list'
         DC    X'0'
@@LC5    EQU   *
         DC    C'match_operand'
         DC    X'0'
@@LC6    EQU   *
         DC    C'match_scratch'
         DC    X'0'
@@LC7    EQU   *
         DC    C'match_dup'
         DC    X'0'
@@LC8    EQU   *
         DC    C'match_operator'
         DC    X'0'
@@LC9    EQU   *
         DC    C'match_parallel'
         DC    X'0'
@@LC10   EQU   *
         DC    C'match_op_dup'
         DC    X'0'
@@LC11   EQU   *
         DC    C'match_par_dup'
         DC    X'0'
@@LC12   EQU   *
         DC    C'match_insn'
         DC    X'0'
@@LC13   EQU   *
         DC    C'define_insn'
         DC    X'0'
@@LC14   EQU   *
         DC    C'define_peephole'
         DC    X'0'
@@LC15   EQU   *
         DC    C'define_split'
         DC    X'0'
@@LC16   EQU   *
         DC    C'define_insn_and_split'
         DC    X'0'
@@LC17   EQU   *
         DC    C'define_peephole2'
         DC    X'0'
@@LC18   EQU   *
         DC    C'define_combine'
         DC    X'0'
@@LC19   EQU   *
         DC    C'define_expand'
         DC    X'0'
@@LC20   EQU   *
