/* rexx */
/* trace i */
/*********************************************************************/
/* This exec invokes IBM's DCE Application Support dialog.  Since it */
/* requires a KEYLIST, save the PFSHOW value, turn PFSHOW ON, then   */
/* restore the PFSHOW value before leaving.                          */
/*********************************************************************/
parse arg ztrail
address ispexec "VGET (ZPFSHOW)"
pfshowsv = zpfshow
address ispexec "SELECT PGM(ISPOPF) PARM(PFK,ON)"
address tso "ALTLIB ACT APPL(CLIST) DA('ASU.SASUEXEC')"
address ispexec "LIBDEF ISPMLIB DATASET ID('ASU.SASUMENU') STACK"
address ispexec "LIBDEF ISPPLIB DATASET ID('ASU.SASUPENU') STACK"
address ispexec "LIBDEF ISPTLIB DATASET ID('ASU.SASUTLIB') STACK"
address ispexec "SELECT PGM(ASUV) NEWAPPL(ASUV) PASSLIB NOCHECK",
                "SCRNAME(DCEASUPP)"
address ispexec "LIBDEF ISPMLIB"
address ispexec "LIBDEF ISPPLIB"
address ispexec "LIBDEF ISPTLIB"
address tso "ALTLIB DEACT APPL(CLIST)"
address ispexec "SELECT PGM(ISPOPF) PARM(PFK,"pfshowsv")"
