INDEX OF MEMBERS IN THIS DATASET
================================

Member     Description
---------  --------------------------------------------------------
$$INDEX    This member
$$README   Change history, limitations and additional thanks
$ASMCSV    Sample assemble and link JCL for the CSVLLIX1 exit
$ASMMENU   Sample assemble and link JCL for the MXI command menu
$ASMOPT    Sample assemble and link JCL for the MXI global options
$ASMSEC    Sample assemble and link JCL for the MXI security table
$ASMSECX   Sample assemble and link JCL for the MXI TCP/IP security exit
$ASMXPT    Sample assemble and link JCL for the MXI exceptions
$FAQ       Frequently asked questions about MXI
$GUIDE     Brief (!) user guide
$INSTALL   Installation instructions
$INSTDB2   Setup requirements for MXI DB2 commands
$INSTJCL   Installation JCL
$INSTMEN   MXI menu customisation documentation
$INSTOPT   MXI global options documentation
$INSTSEC   MXI security documentation
$INSTSSI   MXI subsystem documentation
$INSTTCP   MXI TCP/IP server documentation
$INSTXPT   MXI exceptions table documentation
$IVP1      Installation verification for non-auth functions
$IVP2      Installation verification for auth functions
$LIBDEF    Example invocation using LIBDEF
$MXIMSGS   List of MXI messages
$SECRACF   Example RACF security definitions
$STEPLIB   Example invocation using GSFs Dynamic STEPLIB program
$SUPPORT   MXI trouble shooting guide
CSVLLIX1   Sample CSVLLIX1 exit driver source
MXCOLOR    Mapping macro for the MXI screen attribute equates
MXCT       Mapping macro for the MXI common storage table
MXDT       Mapping macro for the MXI results set header
MXIAUTH    Macro used for security table
MXICMDS    MXI ISPF Command Table
MXIGOPTS   Macro used for global options
MXIH*      MXI ISPF Help Panels
MXIIPMSG   Mapping macro for the MXI TCP/IP input message
MXIMEN00   MXI Command Menu source code
MXIMENU    Macro used to build the MXI command menu
MXIOPTD    MXI ISPF Panel - DS
MXIOPTL    MXI ISPF Panel - SET
MXIOPTN    MXI global option sample source
MXIOPTS    MXI ISPF Panel - SET SCREEN
MXIS       Mapping macro for the MXI results set attributes
MXLS       Mapping macro for the MXI LLA module tracking control blocks
MXIP*      MXI ISPF Panels
MXIRULE    Macro used for exceptions table
MXISECTB   Supplied default security table source
MXISERV    Sample MXI TCP/IP server started task JCL
MXISRV00   Sample MXI TCP/IP server SYSIN cards
MXITSO     MXI TSO Command Shell
MXIXPT00   Supplied default exception table source

